ScientificName,CommonName,FrenchName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference
Rutilus rutilus,Roach,Gardon,Female,NA,149.8,TL,Turkey,Lake Sapanca (2000-2002),<a href=http://fishbase.ca/references/FBRefSummary.php?id=75295 target='_blank' >Tarkan 2006</a>
Rutilus rutilus,Roach,Gardon,Male,NA,122.6,TL,Turkey,Lake Sapanca (2000-2002),<a href=http://fishbase.ca/references/FBRefSummary.php?id=75295 target='_blank' >Tarkan 2006</a>
Notemigonus crysoleucas,Golden Shiner,Méné jaune,Unsexed,NA,64,SL,Canada,Ontario Lake,<a href=http://fishbase.ca/references/FBRefSummary.php?id=58612 target='_blank' >Portt et al. 1988</a>
Ictalurus punctatus,Channel Catfish,Barbue de rivière,Unsexed,NA,360,NA,United States,Mississippi River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Anguilla rostrata,American Eel,Anguille d'Amérique,Unsexed,353,NA,TL,United States,"Altamaha River, Georgia, 1980-81",<a href=http://fishbase.ca/references/FBRefSummary.php?id=7130 target='_blank' >Helfman et al. 1984</a>
Anguilla rostrata,American Eel,Anguille d'Amérique,Female,370,NA,TL,United States,Chesapeake Bay.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>
Anguilla rostrata,American Eel,Anguille d'Amérique,Male,220,NA,TL,United States,Chesapeake Bay.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>
Lota lota,Burbot,Lotte,Female,350,NA,NA,Mongolia,Selenga and Orhon Rivers,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>
Lota lota,Burbot,Lotte,Male,270,NA,NA,Mongolia,Selenga and Orhon Rivers,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>
Lota lota,Burbot,Lotte,Mixed,400,NA,TL,Russian Federation,Enisey River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>
Lota lota,Burbot,Lotte,Unsexed,450,NA,NA,Alaska (USA),Not Specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=58810 target='_blank' >Holmes 1994</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,NA,160,NA,Sweden,Sweden,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Perca fluviatilis,European Perch,Perche fluviatile,Male,NA,100,NA,Sweden,Sweden,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,NA,150,FL,Scotland (UK),Loch Davan,<a href=http://fishbase.ca/references/FBRefSummary.php?id=88821 target='_blank' >Treasurer 1981</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,170,175,FL,Scotland (UK),Loch Kinord,<a href=http://fishbase.ca/references/FBRefSummary.php?id=88821 target='_blank' >Treasurer 1981</a>
Perca fluviatilis,European Perch,Perche fluviatile,Male,60,95,FL,Scotland (UK),Loch Davan,<a href=http://fishbase.ca/references/FBRefSummary.php?id=88821 target='_blank' >Treasurer 1981</a>
Perca fluviatilis,European Perch,Perche fluviatile,Male,60,80,FL,Scotland (UK),Loch Kinord,<a href=http://fishbase.ca/references/FBRefSummary.php?id=88821 target='_blank' >Treasurer 1981</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,140,NA,FL,New Zealand,"Lake Pounui (41<b0>21's, 175<b0> 07'e), South Wairarapa, 1974-75",<a href=http://fishbase.ca/references/FBRefSummary.php?id=37741 target='_blank' >Jellyman 1980</a>
Perca fluviatilis,European Perch,Perche fluviatile,Male,99,NA,FL,New Zealand,"Lake Pounui (41<b0>21's, 175<b0> 07'e), South Wairarapa, 1974-75",<a href=http://fishbase.ca/references/FBRefSummary.php?id=37741 target='_blank' >Jellyman 1980</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,120,NA,TL,Germany (Federal Republic of),Schleswig-Holstein,<a href=http://fishbase.ca/references/FBRefSummary.php?id=55947 target='_blank' >Smolian 1920</a>
Perca fluviatilis,European Perch,Perche fluviatile,Mixed,120,NA,SL,Russian Federation,Enisey River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,112,NA,TL,Greece,"Lake Agios, Vasilios (Oct 1975-Nov 1976)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=74637 target='_blank' >Papageorgi... 1977</a>
Perca fluviatilis,European Perch,Perche fluviatile,Male,93,NA,TL,Greece,"Lake Agios, Vasilios (Oct 1975-Nov 1976)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=74637 target='_blank' >Papageorgi... 1977</a>
Perca fluviatilis,European Perch,Perche fluviatile,Male,110,NA,OT,Romania,Danube Delta (1959),<a href=http://fishbase.ca/references/FBRefSummary.php?id=75671 target='_blank' >Boldor 1963</a>
Perca fluviatilis,European Perch,Perche fluviatile,Unsexed,NA,127.6,TL,Norway,"Breidtjern, 1992-93",<a href=http://fishbase.ca/references/FBRefSummary.php?id=88121 target='_blank' >Heibo et al. 2002</a>
Perca fluviatilis,European Perch,Perche fluviatile,Unsexed,NA,138.3,TL,Norway,"Isebakketjern, 1992-93",<a href=http://fishbase.ca/references/FBRefSummary.php?id=88121 target='_blank' >Heibo et al. 2002</a>
Perca fluviatilis,European Perch,Perche fluviatile,Unsexed,NA,109.7,TL,Norway,"Langtjern, 1992-93",<a href=http://fishbase.ca/references/FBRefSummary.php?id=88121 target='_blank' >Heibo et al. 2002</a>
Perca fluviatilis,European Perch,Perche fluviatile,Unsexed,NA,157.20000000000002,TL,Norway,"Skinnarbutjern, 1992-93",<a href=http://fishbase.ca/references/FBRefSummary.php?id=88121 target='_blank' >Heibo et al. 2002</a>
Perca fluviatilis,European Perch,Perche fluviatile,Unsexed,NA,115.39999999999999,TL,Norway,"Store Risen, 1992-93",<a href=http://fishbase.ca/references/FBRefSummary.php?id=88121 target='_blank' >Heibo et al. 2002</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,130,NA,NA,France,"Lake Geneva, 1963-1976",<a href=http://fishbase.ca/references/FBRefSummary.php?id=91933 target='_blank' >Lang et al. 1985</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,155,175,TL,Poland,"Vistula Lagoon, 2000-20005",<a href=http://fishbase.ca/references/FBRefSummary.php?id=91265 target='_blank' >Ciepielews... et al. 2006</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,NA,172,FL,Turkey,"Anuri Stream, Nov 2000 - Oct 2002",<a href=http://fishbase.ca/references/FBRefSummary.php?id=91555 target='_blank' >Arslan et al. 2007</a>
Perca fluviatilis,European Perch,Perche fluviatile,Female,NA,173,FL,Turkey,"Cenker Stream, Nov 2000 - Oct 2002",<a href=http://fishbase.ca/references/FBRefSummary.php?id=91555 target='_blank' >Arslan et al. 2007</a>
Perca fluviatilis,European Perch,Perche fluviatile,Male,NA,141,FL,Turkey,"Anuri Stream, Nov 2000 - Oct 2002",<a href=http://fishbase.ca/references/FBRefSummary.php?id=91555 target='_blank' >Arslan et al. 2007</a>
Perca fluviatilis,European Perch,Perche fluviatile,Male,NA,140,FL,Turkey,"Cenker Stream, Nov 2000 - Oct 2002",<a href=http://fishbase.ca/references/FBRefSummary.php?id=91555 target='_blank' >Arslan et al. 2007</a>
Lepisosteus oculatus,Spotted Gar,Lépisosté tacheté,Unsexed,NA,549,NG,Canada,Great Lakes,<a href=http://fishbase.ca/references/FBRefSummary.php?id=58585 target='_blank' >Parker et al. 1984</a>
Lepisosteus oculatus,Spotted Gar,Lépisosté tacheté,Female,395,NA,SL,United States,"Lake Pontchartrain Estuary, Louisiana (Nov 1998-Oct 1999)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=58775 target='_blank' >Love 2004</a>
Lepisosteus oculatus,Spotted Gar,Lépisosté tacheté,Male,285,NA,SL,United States,"Lake Pontchartrain Estuary, Louisiana (Nov 1998-Oct 1999)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=58775 target='_blank' >Love 2004</a>
Lepisosteus osseus,Longnose Gar,Lépisosté osseux,Female,NA,838,NA,United States,Missouri,<a href=http://fishbase.ca/references/FBRefSummary.php?id=38418 target='_blank' >Netsch et al. 1962</a>
Lepisosteus osseus,Longnose Gar,Lépisosté osseux,Male,660,NA,NA,United States,Missouri,<a href=http://fishbase.ca/references/FBRefSummary.php?id=38418 target='_blank' >Netsch et al. 1962</a>
Lepisosteus osseus,Longnose Gar,Lépisosté osseux,Female,NA,500,NA,Canada,Great Lakes,<a href=http://fishbase.ca/references/FBRefSummary.php?id=58584 target='_blank' >Minns et al. 1993</a>
Cyprinus carpio,Carp,Carpe,Unsexed,370,NA,NA,India,(Hills),<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>
Cyprinus carpio,Carp,Carpe,Unsexed,150,NA,NA,India,(Plains),<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>
Cyprinus carpio,Carp,Carpe,Unsexed,400,NA,NA,NA,Europe,<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>
Cyprinus carpio,Carp,Carpe,Unsexed,300,NA,NA,Indonesia,Indonesia,<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>
Cyprinus carpio,Carp,Carpe,Unsexed,300,NA,NA,Japan,Japan,<a href=http://fishbase.ca/references/FBRefSummary.php?id=142 target='_blank' >Jhingran et al. 1988</a>
Cyprinus carpio,Carp,Carpe,Female,250,NA,NA,NA,Not Stated,<a href=http://fishbase.ca/references/FBRefSummary.php?id=6390 target='_blank' >Kailola et al. 1993</a>
Cyprinus carpio,Carp,Carpe,Male,200,NA,NG,NA,Not Stated,<a href=http://fishbase.ca/references/FBRefSummary.php?id=6390 target='_blank' >Kailola et al. 1993</a>
Cyprinus carpio,Carp,Carpe,Mixed,NA,251,TL,France,Camargue,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52210 target='_blank' >Crivelli 1981</a>
Cyprinus carpio,Carp,Carpe,Mixed,NA,194,TL,Spain,"Guadalquivir River, Southwest Region",<a href=http://fishbase.ca/references/FBRefSummary.php?id=52211 target='_blank' >Fern<e1>ndez-... 1990</a>
Cyprinus carpio,Carp,Carpe,Female,NA,328,FL,NA,Barmah Forest,<a href=http://fishbase.ca/references/FBRefSummary.php?id=89158 target='_blank' >Brown et al. 2005</a>
Cyprinus carpio,Carp,Carpe,Female,NA,273,FL,NA,Campaspe Channels,<a href=http://fishbase.ca/references/FBRefSummary.php?id=89159 target='_blank' >Brown et al. 2004</a>
Cyprinus carpio,Carp,Carpe,Female,NA,347,FL,Slovakia,Danube,<a href=http://fishbase.ca/references/FBRefSummary.php?id=89157 target='_blank' >Balon 1995</a>
Cyprinus carpio,Carp,Carpe,Female,NA,403,FL,South Africa,Hartbeespoort Dam,<a href=http://fishbase.ca/references/FBRefSummary.php?id=89160 target='_blank' >Cochrane 1985</a>
Cyprinus carpio,Carp,Carpe,Female,276,335,FL,South Africa,"Lake Gariep, (30<b0>38's; 25<b0>46'e), Orange River, 2006-2008",<a href=http://fishbase.ca/references/FBRefSummary.php?id=88006 target='_blank' >Winker et al. 2011</a>
Cyprinus carpio,Carp,Carpe,Female,NA,420,FL,Kenya,Lake Naivasha,<a href=http://fishbase.ca/references/FBRefSummary.php?id=89162 target='_blank' >Oyugi et al. 2011</a>
Cyprinus carpio,Carp,Carpe,Male,NA,307,FL,NA,Barmah Forest,<a href=http://fishbase.ca/references/FBRefSummary.php?id=89158 target='_blank' >Brown et al. 2005</a>
Cyprinus carpio,Carp,Carpe,Male,NA,287,FL,NA,Campaspe,<a href=http://fishbase.ca/references/FBRefSummary.php?id=89159 target='_blank' >Brown et al. 2004</a>
Cyprinus carpio,Carp,Carpe,Male,NA,316,FL,Slovakia,Danube,<a href=http://fishbase.ca/references/FBRefSummary.php?id=89157 target='_blank' >Balon 1995</a>
Cyprinus carpio,Carp,Carpe,Male,258,296,FL,South Africa,"Lake Gariep, (30<b0>38's; 25<b0>46'e), Orange River, 2006-2008",<a href=http://fishbase.ca/references/FBRefSummary.php?id=88006 target='_blank' >Winker et al. 2011</a>
Cyprinus carpio,Carp,Carpe,Male,NA,340,FL,Kenya,Lake Naivasha,<a href=http://fishbase.ca/references/FBRefSummary.php?id=89162 target='_blank' >Oyugi et al. 2011</a>
Cyprinus carpio,Carp,Carpe,Female,NA,337.59999999999997,FL,Turkey,Bayrami<e7> Reservoir,<a href=http://fishbase.ca/references/FBRefSummary.php?id=96089 target='_blank' ><c7>olako?lu et al. 2011</a>
Cyprinus carpio,Carp,Carpe,Male,NA,283.29999999999995,FL,Turkey,Bayrami<e7> Reservoir,<a href=http://fishbase.ca/references/FBRefSummary.php?id=96089 target='_blank' ><c7>olako?lu et al. 2011</a>
Cyprinus carpio,Carp,Carpe,Female,320,NA,NA,Mongolia,Not Specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>
Cyprinus carpio,Carp,Carpe,Male,260,NA,NA,Mongolia,Not Specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>
Alosa pseudoharengus,Alewife/Gaspereau,Gaspareau,Female,110,NA,SL,Canada,Lake Ontario,<a href=http://fishbase.ca/references/FBRefSummary.php?id=38946 target='_blank' >Graham 1956</a>
Alosa pseudoharengus,Alewife/Gaspereau,Gaspareau,Male,95.5,NA,SL,Canada,Lake Ontario,<a href=http://fishbase.ca/references/FBRefSummary.php?id=38946 target='_blank' >Graham 1956</a>
Alosa pseudoharengus,Alewife/Gaspereau,Gaspareau,Mixed,NA,158,TL,United States,Lake Michigan,<a href=http://fishbase.ca/references/FBRefSummary.php?id=38634 target='_blank' >Norden 1967</a>
Alosa pseudoharengus,Alewife/Gaspereau,Gaspareau,Mixed,NA,131,TL,United States,"Lake Ontario, 1978-92",<a href=http://fishbase.ca/references/FBRefSummary.php?id=52208 target='_blank' >Hanel 1992</a>
Alosa sapidissima,American Shad,Alose savoureuse,Female,383,NA,FL,United States,"St John's River, Florida",<a href=http://fishbase.ca/references/FBRefSummary.php?id=38973 target='_blank' >Walburg 1960</a>
Alosa sapidissima,American Shad,Alose savoureuse,Male,305,NA,FL,United States,"St. John's River, Florida",<a href=http://fishbase.ca/references/FBRefSummary.php?id=38973 target='_blank' >Walburg 1960</a>
Dorosoma cepedianum,Gizzard Dhad,Alose à gésier,Female,NA,361,TL,United States,Lake Erie,<a href=http://fishbase.ca/references/FBRefSummary.php?id=3672 target='_blank' >Carlander 1969</a>
Dorosoma cepedianum,Gizzard Dhad,Alose à gésier,Male,NA,265,TL,United States,Lake Erie,<a href=http://fishbase.ca/references/FBRefSummary.php?id=3672 target='_blank' >Carlander 1969</a>
Dorosoma cepedianum,Gizzard Dhad,Alose à gésier,Unsexed,178,NA,NA,United States,Not Specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=39046 target='_blank' >Miller 1963</a>
Gasterosteus aculeatus,Threespine Stickleback,Épinoche à trois épines,Unsexed,NA,36,NA,England and Wales (UK),"Cheshire, England",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Gasterosteus aculeatus,Threespine Stickleback,Épinoche à trois épines,Female,NA,55,TL,France,Roscoff (Brackish Waters),<a href=http://fishbase.ca/references/FBRefSummary.php?id=981 target='_blank' >Bertin 1923</a>
Gasterosteus aculeatus,Threespine Stickleback,Épinoche à trois épines,Male,NA,45,TL,France,Roscoff (Brackish Waters),<a href=http://fishbase.ca/references/FBRefSummary.php?id=981 target='_blank' >Bertin 1923</a>
Ichthyomyzon castaneus,Chestnut Lamprey,Lamproie brune,Unsexed,NA,101,TL,Canada,Manitoba,<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>
Ichthyomyzon fossor,Northern Brook Lamprey,Lamproie du nord,Unsexed,NA,135,TL,Canada,To be Filled,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Ichthyomyzon unicuspis,Silver Lamprey,Lamproie argentée,Unsexed,NA,100,TL,Canada,To be Filled,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Lethenteron appendix,American Brook Lamprey,Lamproie de l'est,Unsexed,NA,150,TL,Canada,To be Filled,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>
Lampetra ayresii,River Lamprey,Lamproie de rivière,Unsexed,NA,162,TL,Canada,To be Filled,<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>
Lethenteron camtschaticum,Arctic Lamprey,Lamproie arctique,Female,130,NA,TL,NA,North America and Asia.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=12321 target='_blank' >Holc<ed>k 1986</a>
Lethenteron camtschaticum,Arctic Lamprey,Lamproie arctique,Male,135,NA,TL,NA,North America and Asia.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=12321 target='_blank' >Holc<ed>k 1986</a>
Lethenteron camtschaticum,Arctic Lamprey,Lamproie arctique,Unsexed,130,NA,TL,Mongolia,Barh and Hurh Rivers,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>
Lethenteron camtschaticum,Arctic Lamprey,Lamproie arctique,Unsexed,350,NA,TL,NA,Not Specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>
Acipenser brevirostrum,Shortnose Sturgeon,Esturgeon à museau court,Female,450,NA,FL,United States,"St. John River, New Brunswick",<a href=http://fishbase.ca/references/FBRefSummary.php?id=38308 target='_blank' >Vecsei et al. 2000</a>
Acipenser brevirostrum,Shortnose Sturgeon,Esturgeon à museau court,Female,700,NA,TL,NA,"St. Johns River, New Brunswick",<a href=http://fishbase.ca/references/FBRefSummary.php?id=38308 target='_blank' >Vecsei et al. 2000</a>
Acipenser brevirostrum,Shortnose Sturgeon,Esturgeon à museau court,Male,490,NA,NA,United States,"St. John River, New Brunswick",<a href=http://fishbase.ca/references/FBRefSummary.php?id=4639 target='_blank' >Jones et al. 1978</a>
Acipenser fulvescens,Lake Sturgeon,Esturgeon jaune,Unsexed,NA,1120,NA,United States,Wisconsin,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Acipenser fulvescens,Lake Sturgeon,Esturgeon jaune,Female,NA,800,TL,NA,Nottaway River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=9979 target='_blank' >Magnin 1966</a>
Acipenser fulvescens,Lake Sturgeon,Esturgeon jaune,Male,NA,900,TL,NA,Nottaway River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=9979 target='_blank' >Magnin 1966</a>
Acipenser fulvescens,Lake Sturgeon,Esturgeon jaune,Female,NA,1140,TL,NA,Quebec,<a href=http://fishbase.ca/references/FBRefSummary.php?id=9980 target='_blank' >Vladykov et al. 1963</a>
Acipenser fulvescens,Lake Sturgeon,Esturgeon jaune,Male,NA,965,TL,NA,Quebec,<a href=http://fishbase.ca/references/FBRefSummary.php?id=9980 target='_blank' >Vladykov et al. 1963</a>
Acipenser fulvescens,Lake Sturgeon,Esturgeon jaune,Female,900,NA,TL,NA,Not Specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>
Acipenser fulvescens,Lake Sturgeon,Esturgeon jaune,Male,850,NA,TL,NA,Not Specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>
Acipenser medirostris,Green Sturgeon,Esturgeon vert,Mixed,1000,NA,TL,NA,Not Specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>
Acipenser medirostris,Green Sturgeon,Esturgeon vert,Unsexed,NA,1000,TL,Russian Federation,Sea of Japan,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56557 target='_blank' >Novikov et al. 2002</a>
Acipenser oxyrinchus,Atlantic Sturgeon,Esturgeon noir,Female,1829,NA,NA,United States,"Hudson River, New York",<a href=http://fishbase.ca/references/FBRefSummary.php?id=4639 target='_blank' >Jones et al. 1978</a>
Acipenser oxyrinchus,Atlantic Sturgeon,Esturgeon noir,Female,NA,1900,TL,United States,St. Lawrence River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>
Acipenser oxyrinchus,Atlantic Sturgeon,Esturgeon noir,Male,1219,NA,NA,United States,"Hudson River, New York",<a href=http://fishbase.ca/references/FBRefSummary.php?id=4639 target='_blank' >Jones et al. 1978</a>
Acipenser oxyrinchus,Atlantic Sturgeon,Esturgeon noir,Male,NA,1650,TL,United States,St. Lawrence River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>
Acipenser transmontanus,White Sturgeon,Esturgeon blanc,Unsexed,NA,1120,NA,United States,California,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Acipenser transmontanus,White Sturgeon,Esturgeon blanc,Female,NA,1600,FL,NA,Lower Columbia River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=34045 target='_blank' >DeVore et al. 1995</a>
Scaphirhynchus albus,Pallid Sturgeon,Esturgeon pâle,Male,500,NA,TL,NA,Not Specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>
Scaphirhynchus platorynchus,Shovelnose Sturgeon,Esturgeon à museau plat,Mixed,350,NA,TL,Mexico,Not Specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52332 target='_blank' >Rochard et al. 1991</a>
Scaphirhynchus platorynchus,Shovelnose Sturgeon,Esturgeon à museau plat,Female,449,547,FL,United States,"Lower Platte River, Nebraska, 2011-2012",<a href=http://fishbase.ca/references/FBRefSummary.php?id=102340 target='_blank' >Hamel et al. 2015</a>
Scaphirhynchus platorynchus,Shovelnose Sturgeon,Esturgeon à museau plat,Male,453,579,FL,United States,"Lower Platte River, Nebraska, 2011-2012",<a href=http://fishbase.ca/references/FBRefSummary.php?id=102340 target='_blank' >Hamel et al. 2015</a>
Amia calva,Bowfin,Poisson-castor,Female,610,NA,NA,NA,North America,<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>
Amia calva,Bowfin,Poisson-castor,Male,457,NA,NA,NA,North America,<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1973</a>
Amia calva,Bowfin,Poisson-castor,Female,380,NA,TL,United States,Chesapeake Bay,<a href=http://fishbase.ca/references/FBRefSummary.php?id=93252 target='_blank' >Murdy et al. 2013</a>
Coregonus autumnalis,Arctic Cisco,Cisco arctique,Mixed,280,NA,FL,Russian Federation,Enisey River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>
Coregonus hoyi,Bloater,NA,Mixed,NA,183,TL,United States,"Apostle Islands Region, Lake Superior",<a href=http://fishbase.ca/references/FBRefSummary.php?id=52232 target='_blank' >Dryer et al. 1968</a>
Coregonus kiyi,Kiyi,NA,Unsexed,NA,180,NA,United States,USA,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>
Coregonus nasus,Broad Whitefish,Corégone tschir,Mixed,420,NA,FL,Russian Federation,Enisey River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>
Prosopium cylindraceum,Round Whitefish,Ménomini rond,Female,NA,300,NG,Russian Federation,Anadyr River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56521 target='_blank' >Reshetniko... 1980</a>
Prosopium cylindraceum,Round Whitefish,Ménomini rond,Male,NA,270,NG,Russian Federation,Anadyr River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56521 target='_blank' >Reshetniko... 1980</a>
