ScientificName,CommonName
Moxostoma hubbsi,Copper redhorse
Coregonus johannae,Deepwater cisco
Polyodon spathula,Mississippi paddlefish
Carassius auratus,Goldfish
Cyprinus carpio,Common carp
Gambusia affinis,Mosquitofish
Gymnocephalus cernua,Ruffe
Hemichromis bimaculatus,Jewelfish
Ictiobus cyprinellus,Bigmouth buffalo
Ictiobus niger,Black buffalo
Lepomis gulosus,Warmouth
Lepomis humilis,Orangespotted sunfish
Misgurnus anguillicaudatus,Pond loach
Neogobius melanostomus,Round goby
Notropis buchanani,Ghost shiner
Notropis texanus,Weed shiner
Noturus insignis,Margined madtom
Noturus stigmosus,Northern madtom
Oncorhynchus aguabonita,Golden trout
Poecilia latipinna,Sailfin molly
Proterorhinus marmoratus,Tubenose goby
Pylodictis olivaris,Flathead catfish
Salmo trutta,Sea trout
Scardinius erythrophthalmus,Rudd
Tinca tinca,Tench
Cottus bairdii,Mottled sculpin
Margariscus margarita,Allegheny pearl dace
Acipenser brevirostrum,Shortnose sturgeon
Acipenser fulvescens,Lake sturgeon
Acipenser medirostris,Green sturgeon
Acipenser oxyrinchus,Atlantic sturgeon
Acipenser transmontanus,White sturgeon
Acrocheilus alutaceus,Chiselmouth
Alosa aestivalis,Blueback shad
Alosa mediocris,Hickory shad
Alosa pseudoharengus,Alewife
Alosa sapidissima,American shad
Ambloplites rupestris,Rock bass
Ameiurus melas,Black bullhead
Ameiurus natalis,Yellow bullhead
Ameiurus nebulosus,Brown bullhead
Amia calva,Bowfin
Ammocrypta pellucida,Eastern sand darter
Anguilla rostrata,American eel
Apeltes quadracus,Fourspine stickleback
Aplodinotus grunniens,Freshwater drum
Campostoma anomalum,Central stoneroller
Carpiodes cyprinus,Quillback
Catostomus catostomus,Longnose sucker
Catostomus columbianus,Bridgelip sucker
Catostomus commersonii,White sucker
Catostomus macrocheilus,Largescale sucker
Catostomus platyrhynchus,Mountain sucker
Chrosomus eos,Northern redbelly dace
Chrosomus neogaeus,Finescale dace
Clinostomus elongatus,Redside dace
Clupea harengus,Atlantic herring
Clupea pallasii pallasii,Pacific herring
Coregonus alpenae,Longjaw cisco
Coregonus artedi,Cisco
Coregonus autumnalis,Arctic cisco
Coregonus clupeaformis,Lake whitefish
Coregonus hoyi,Bloater
Coregonus huntsmani,Atlantic whitefish
Coregonus kiyi,Kiyi
Coregonus laurettae,Bering cisco
Coregonus nasus,Broad whitefish
Coregonus nelsonii,Alaska whitefish
Coregonus nigripinnis,Blackfin cisco
Coregonus nipigon,
Coregonus pidschian,Humpback whitefish
Coregonus reighardi,Shortnose cisco
Coregonus sardinella,Sardine cisco
Coregonus zenithicus,Shortjaw cisco
Cottus aleuticus,Coastrange sculpin
Cottus asper,Prickly sculpin
Cottus cognatus,Slimy sculpin
Cottus confusus,Shorthead sculpin
Cottus hubbsi,
Cottus rhotheus,Torrent sculpin
Cottus ricei,Spoonhead sculpin
Couesius plumbeus,Lake chub
Culaea inconstans,Brook stickleback
Cymatogaster aggregata,Shiner perch
Cyprinella spiloptera,Spotfin shiner
Dorosoma cepedianum,American gizzard shad
Eleginus gracilis,Saffron cod
Entosphenus macrostomus,Vancouver lamprey
Entosphenus tridentatus,Pacific lamprey
Erimystax x-punctatus,Gravel chub
Erimyzon sucetta,Lake chubsucker
Esox americanus,Redfin pickerel
Esox lucius,Northern pike
Esox masquinongy,Muskellunge
Esox niger,Chain pickerel
Etheostoma blennioides,Greenside darter
Etheostoma caeruleum,Rainbow darter
Etheostoma exile,Iowa darter
Etheostoma flabellare,Fantail darter
Etheostoma microperca,Least darter
Etheostoma nigrum,Johnny darter
Etheostoma olmstedi,Tessellated darter
Exoglossum maxillingua,Cutlips minnow
Fundulus diaphanus,Banded killifish
Fundulus heteroclitus,Mummichog
Fundulus notatus,Blackstripe topminnow
Gasterosteus aculeatus,Three-spined stickleback
Hiodon alosoides,Goldeye
Hiodon tergisus,Mooneye
Hybognathus argyritis,Western silvery minnow
Hybognathus hankinsoni,Brassy minnow
Hybognathus regius,Eastern silvery minnow
Hypentelium nigricans,Northern hog sucker
Hypomesus olidus,Pond smelt
Ichthyomyzon castaneus,Chestnut lamprey
Ichthyomyzon fossor,Northern brook lamprey
Ichthyomyzon unicuspis,Silver lamprey
Ictalurus punctatus,Channel catfish
Labidesthes sicculus,Brook silverside
Lampetra ayresii,Western river lamprey
Lampetra richardsoni,Western brook lamprey
Lepisosteus oculatus,Spotted gar
Lepisosteus osseus,Longnose gar
Lepomis auritus,Redbreast sunfish
Lepomis cyanellus,Green sunfish
Lepomis gibbosus,Pumpkinseed
Lepomis macrochirus,Bluegill
Lepomis megalotis,Longear sunfish
Lepomis peltastes,Northern sunfish
Leptocottus armatus,Pacific staghorn sculpin
Lethenteron alaskense,Alaskan brook lamprey
Lethenteron appendix,American brook lamprey
Lethenteron camtschaticum,Arctic lamprey
Liopsetta glacialis,Arctic flounder
Lota lota,Burbot
Luxilus chrysocephalus,Striped shiner
Luxilus cornutus,Common shiner
Lythrurus umbratilis,Redfin shiner
Macrhybopsis storeriana,Silver chub
Margariscus nachtriebi,Northern pearl dace
Microgadus tomcod,Atlantic tomcod
Micropterus dolomieu,Smallmouth bass
Micropterus salmoides,Largemouth black bass
Minytrema melanops,Spotted sucker
Morone americana,White perch
Morone chrysops,White bass
Morone saxatilis,Striped bass
Moxostoma anisurum,Silver redhorse
Moxostoma carinatum,River redhorse
Moxostoma duquesnii,Black redhorse
Moxostoma erythrurum,Golden redhorse
Moxostoma macrolepidotum,Shorthead redhorse
Moxostoma valenciennesi,Greater redhorse
Mugil cephalus,Flathead grey mullet
Mylocheilus caurinus,Peamouth
Myoxocephalus quadricornis,Fourhorn sculpin
Myoxocephalus thompsonii,Deepwater sculpin
Nocomis biguttatus,Hornyhead chub
Nocomis micropogon,River chub
Notemigonus crysoleucas,Golden shiner
Notropis anogenus,Pugnose shiner
Notropis atherinoides,Emerald shiner
Notropis bifrenatus,Bridle shiner
Notropis blennius,River shiner
Notropis dorsalis,Bigmouth shiner
Notropis heterodon,Blackchin shiner
Notropis heterolepis,Blacknose shiner
Notropis hudsonius,Spottail shiner
Notropis percobromus,Carmine shiner
Notropis photogenis,Silver shiner
Notropis rubellus,Rosyface shiner
Notropis stramineus,Sand shiner
Notropis volucellus,Mimic shiner
Noturus flavus,Stonecat
Noturus gyrinus,Tadpole madtom
Noturus miurus,Brindled madtom
Oncorhynchus clarkii,Cutthroat trout
Oncorhynchus gorbuscha,Pink salmon
Oncorhynchus keta,Chum salmon
Oncorhynchus kisutch,Coho salmon
Oncorhynchus mykiss,Rainbow trout
Oncorhynchus nerka,Sockeye salmon
Oncorhynchus tshawytscha,Chinook salmon
Opsopoeodus emiliae,Pugnose minnow
Osmerus dentex,Pacific rainbow smelt
Osmerus mordax,Rainbow smelt
Osmerus spectrum,Pigmy smelt
Perca flavescens,American yellow perch
Percina caprodes,Logperch
Percina copelandi,Channel darter
Percina maculata,Blackside darter
Percina shumardi,River darter
Percopsis omiscomaycus,Trout-perch
Petromyzon marinus,Sea lamprey
Pimephales notatus,Bluntnose minnow
Pimephales promelas,Fathead minnow
Platichthys stellatus,Starry flounder
Platygobio gracilis,Flathead chub
Pomoxis annularis,White crappie
Pomoxis nigromaculatus,Black crappie
Prosopium coulterii,Pygmy whitefish
Prosopium cylindraceum,Round whitefish
Prosopium williamsoni,Mountain whitefish
Ptychocheilus oregonensis,Northern pikeminnow
Pungitius pungitius,Ninespine stickleback
Rhinichthys atratulus,Blacknose dace
Rhinichthys cataractae,Longnose dace
Rhinichthys falcatus,Leopard dace
Rhinichthys obtusus,Western blacknose dace
Rhinichthys osculus,Speckled dace
Rhinichthys umatilla,Umatilla dace
Richardsonius balteatus,Redside shiner
Salmo salar,Atlantic salmon
Salvelinus alpinus alpinus,Arctic char
Salvelinus confluentus,Bull trout
Salvelinus fontinalis,Brook trout
Salvelinus malma,Dolly varden
Salvelinus namaycush,Lake trout
Sander canadensis,Sauger
Sander vitreus,Walleye
Semotilus atromaculatus,Creek chub
Semotilus corporalis,Fallfish
Spirinchus thaleichthys,Longfin smelt
Stenodus leucichthys,Sheefish
Stenodus nelma,
Syngnathus fuscus,Northern pipefish
Thaleichthys pacificus,Eulachon
Thymallus arcticus,Arctic grayling
Umbra limi,Central mudminnow
Ctenopharyngodon idella,Grass carp